X: 0.51 	Y: -0.35 	Z: 9.26
X: 0.39 	Y: -0.31 	Z: 9.26
X: 0.47 	Y: -0.31 	Z: 9.22
X: 0.47 	Y: -0.35 	Z: 9.26
X: 0.47 	Y: -0.31 	Z: 9.06
X: 0.39 	Y: -0.35 	Z: 9.22
X: 0.43 	Y: -0.35 	Z: 9.14
X: 0.35 	Y: -0.31 	Z: 9.26
X: 0.39 	Y: -0.31 	Z: 9.22
X: 0.39 	Y: -0.27 	Z: 9.26
X: 0.43 	Y: -0.39 	Z: 9.22
X: 0.39 	Y: -0.35 	Z: 9.22
X: 0.39 	Y: -0.31 	Z: 9.22
X: 0.39 	Y: -0.35 	Z: 9.22
X: 0.43 	Y: -0.39 	Z: 9.18
X: 0.43 	Y: -0.35 	Z: 9.22
X: 0.39 	Y: -0.31 	Z: 9.18
X: 0.39 	Y: -0.27 	Z: 9.14
X: 0.39 	Y: -0.27 	Z: 9.26
X: 0.39 	Y: -0.31 	Z: 9.18
X: 0.35 	Y: -0.39 	Z: 9.22
X: 0.43 	Y: -0.24 	Z: 9.22
X: 0.43 	Y: -0.39 	Z: 9.22
X: 0.39 	Y: -0.31 	Z: 9.22
X: 0.43 	Y: -0.31 	Z: 9.22
