=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.12 20:01:45 =~=~=~=~=~=~=~=~=~=~=~=
X: 0.12 	Y: 0.27 	Z: 9.22
X: 0.04 	Y: 0.31 	Z: 9.22
X: 0.08 	Y: 0.31 	Z: 9.30
X: 0.12 	Y: 0.27 	Z: 9.30
X: 0.08 	Y: 0.24 	Z: 9.38
X: 1.80 	Y: -8.08 	Z: 2.28
X: -0.78 	Y: 8.83 	Z: 3.65
X: 2.24 	Y: -9.10 	Z: 4.63
X: 1.96 	Y: 2.04 	Z: 2.12
X: -2.39 	Y: -12.28 	Z: -0.39
X: -3.73 	Y: -5.69 	Z: 1.61
X: 1.96 	Y: 2.04 	Z: 2.12
X: -3.84 	Y: -8.04 	Z: -0.82
X: 3.10 	Y: 4.43 	Z: 9.02
X: -3.18 	Y: -8.24 	Z: -4.51
X: 1.96 	Y: 2.04 	Z: 2.12
X: 2.86 	Y: 2.39 	Z: 9.77
X: -2.31 	Y: -6.28 	Z: 5.26
X: 0.24 	Y: -1.22 	Z: 8.24
X: 0.55 	Y: -1.02 	Z: 9.06
X: 0.55 	Y: -1.02 	Z: 9.18
X: 0.47 	Y: -0.98 	Z: 9.22
X: 0.51 	Y: -0.94 	Z: 9.18
X: 0.51 	Y: -0.94 	Z: 9.18
X: 0.47 	Y: -0.90 	Z: 9.14
X: 0.55 	Y: -0.90 	Z: 9.18
X: 0.51 	Y: -0.82 	Z: 9.10
X: 0.51 	Y: -0.78 	Z: 9.26
X: 0.51 	Y: -0.82 	Z: 9.18
X: 0.51 	Y: -0.86 	Z: 9.18
X: 0.47 	Y: -0.71 	Z: 9.18
X: 0.43 	Y: -0.82 	Z: 9.14
X: 0.51 	Y: -0.82 	Z: 9.02
X: 0.47 	Y: -0.78 	Z: 9.22
X: 0.43 	Y: -0.67 	Z: 9.18
X: 0.51 	Y: -0.67 	Z: 9.10
X: 0.51 	Y: -0.67 	Z: 9.22
X: 0.43 	Y: -0.63 	Z: 9.22
X: 0.47 	Y: -0.63 	Z: 9.10
X: 0.47 	Y: -0.71 	Z: 9.22
X: 0.51 	Y: -0.63 	Z: 9.10
X: 0.51 	Y: -0.67 	Z: 9.18
X: 0.51 	Y: -0.59 	Z: 9.22
X: 0.47 	Y: -0.59 	Z: 9.14
X: 0.51 	Y: -0.59 	Z: 9.26
X: 0.51 	Y: -0.63 	Z: 9.14
X: 0.51 	Y: -0.59 	Z: 9.18
X: 0.43 	Y: -0.59 	Z: 9.18
X: 0.47 	Y: -0.63 	Z: 9.18
X: 0.47 	Y: -0.59 	Z: 9.10
X: 0.51 	Y: -0.59 	Z: 9.22
X: 0.51 	Y: -0.55 	Z: 9.18
X: 0.55 	Y: -0.59 	Z: 9.14
X: 0.51 	Y: -0.55 	Z: 9.18
X: 0.47 	Y: -0.55 	Z: 9.26
X: 0.47 	Y: -0.55 	Z: 9.18
X: 0.47 	Y: -0.51 	Z: 9.18
X: 0.55 	Y: -0.55 	Z: 9.18
X: 0.51 	Y: -0.51 	Z: 9.18
X
